id,title,organization,date,type,topic,key_insight,url
S01,EU Regulation 2024/1183 (eIDAS amendment),European Union / EUR-Lex,2024,Regulation,"Trust services, identity, legal framework","Expands eIDAS to European Digital Identity Wallets and broadens trust services incl. signatures, seals, timestamps, archiving, attestations and ledgers.",https://eur-lex.europa.eu/eli/reg/2024/1183/oj
S02,Trust Services,European Commission,2026,Policy overview,Trust services,EU frames trust services as the infrastructure that helps establish who/what is being dealt with online; scope now extends well beyond signing.,https://digital-strategy.ec.europa.eu/en/policies/trust
S03,EU Digital Identity Wallet implementing regulations – July 2025,European Commission,2025,Regulatory update,"Digital identity, remote signing",Seven trust-service implementing regulations plus an EAA regulation were adopted; remote qualified signing/sealing device management is formalized.,https://ec.europa.eu/digital-building-blocks/sites/display/EUDIGITALIDENTITYWALLET/New+round+of+EU+Digital+Identity+Wallet+implementing+regulations+adopted
S04,eSignature use case – EU Digital Identity Wallet,European Commission,2026,Policy/use case,"Wallets, signatures",The wallet ecosystem explicitly includes e-signature use cases and qualified-signature infrastructure.,https://ec.europa.eu/digital-building-blocks/sites/spaces/EUDIGITALIDENTITYWALLET/pages/930452287/eSignature
S05,Electronic identification and trust services including e-signatures (RP 2026),European Commission / Interoperable Europe,2026,Standards plan,Interoperability,"2026 standardisation work includes wallet/trust-service interfaces, attribute attestations, security requirements and global alignment.",https://interoperable-europe.ec.europa.eu/collection/rolling-plan-ict-standardisation/electronic-identification-and-trust-services-including-e-signatures-rp-2026
S06,ETSI TC ESI,ETSI,2026,Standards body,"Signatures, seals, trust infrastructures","ETSI TC ESI covers electronic identity, authentication, signatures, seals, website authentication, registered delivery and wallet-related access.",https://www.etsi.org/technical-groups/esi/
S07,Trust Service Providers,ETSI,2026,Standards overview,"TSP, PKI","Explains trust service providers and certification authorities as infrastructure for identification, authentication and signatures over public networks.",https://portal.etsi.org/TB-SiteMap/ESI/Trust-Service-Providers
S08,NIST SP 800-63-4 Digital Identity Guidelines,NIST,2025,Technical standard,"Identity proofing, authentication, federation","Defines current U.S. guidance for identity proofing, authentication, federation, authenticators and assertions; also points toward wallets and stronger media/injection controls.",https://www.nist.gov/publications/nist-sp-800-63-4-digital-identity-guidelines
S09,Verifiable Credentials Data Model v2.0,W3C,2025,Web standard,Verifiable credentials,"W3C Recommendation formalizes issuer-holder-verifier credential flows and cryptographically secured, machine-verifiable claims; a broader trust model than document signing.",https://www.w3.org/TR/vc-data-model/
S10,UAE Electronic Transactions and Trust Services Law,UAE Government,2024/2025,Law,Regional regulation,"UAE law regulates electronic documents, signatures, seals, digital certification and licensed trust-service providers; TDRA supervises the framework.",https://u.ae/en/about-the-uae/digital-uae/regulatory-framework/electronic-transactions-and-trust-services-law
S11,UAE Trust Services Law – TDRA,TDRA,2026,Government regulation,Trust-service licensing,"TDRA defines service-provider licensing, trusted/qualified signatures and seals, authentication certificates and UAE trusted lists.",https://dgov.tdra.gov.ae/publications/electronic-transactions-and-trust-services-law
S12,Dubai PKI,Dubai Electronic Security Center,2026,Government platform,"PKI, trust infrastructure","Dubai PKI illustrates the regional direction toward full trust infrastructure: CA, RA, validation, timestamping and digital identity.",https://www.desc.gov.ae/regulations/public-key-infrastructure/
S13,Ethaq Plus,Dubai Electronic Security Center,2026,Market competitor/platform,"Digital signing, timestamping","Government-backed UAE platform for enterprise/government signing, timestamping and SaaS-provider enablement; emphasizes certified and scalable infrastructure.",https://www.desc.gov.ae/ethaqplus/
S14,Saudi Digital Transformation Basic Standards,Saudi Digital Government Authority,2024,Government standard,Digital trust services,"Saudi standards explicitly require activation and reporting of digital trust services including e-signatures, e-stamps and certificates.",https://dga.gov.sa/sites/default/files/2024-07/Digital%20Transformation%20Basic%20Standards%20-V3.0.pdf
S15,emdha,emdha,2026,Regional competitor,Saudi TSP,"Saudi TSP positioning is built around legal binding, PKI standards, identity protection and regulated trust infrastructure.",https://emdha.sa/
S16,Signit,Signit,2026,Regional competitor,Saudi digital trust,"Saudi-built, DGA-licensed platform positions itself as digital-trust backbone for signing, verifying and agreement management.",https://signit.sa/en/about
S17,SDAIA Digital Certification Services,SDAIA,2026,Government service,"Digital certificates, seals","Saudi national service covers organizational digital seals and individual signing certificates, indicating strong institutional use of seals beyond human signatures.",https://sdaia.gov.sa/en/Services/Pages/DigitalCertification.aspx
S18,Barid Media signature policy,Barid Media / Barid eSign,2025,Regional technical policy,"Morocco, certificates, timestamping","Moroccan signing policy references Barid eSign CA, certificate chains, timestamping, SHA-512/RSA and multiple certificate/signature levels.",https://www.baridmedia.ma/wp-content/uploads/2024/11/PS-BaridMedia-iMDAE-1.2.504.1.1.3.1.1.0.1.2.pdf
S19,DocuSign Digital Signatures,DocuSign,2026,Competitor,"eSign, QES, IDV","DocuSign now spans simple electronic signature, advanced signature and qualified signature with identity verification.",https://www.docusign.com/products/digital-signature
S20,DocuSign Trust Center,DocuSign,2026,Competitor trust,"Security, compliance","Trust is operationalized through a public trust center for security, compliance, legal, privacy and system performance.",https://www.docusign.com/trust
